item_id,text,label
'575735721744449536',cyclone pam hits new zealand dominion post httpAddress httpAddress httpAddress,__lable__1
'575736033058406400',#cylonepam devastates #vanuatu regional disaster #insurance scheme can help fund gvt rebuilding efforts httpAddress #wcdrr,__lable__2
'575736037986578433',rt usrId emergency response teams from australia are on their way to vanuatu where dozens are feared httpAddress httpAddress #tc,__lable__3
'575736076087644160',vanuatu #rt cyclone pam lashes vanuatu with category D winds the weather channel the weather channel httpAddress,__lable__1
'575736131817369601',aid agencies vanuatu conditions more challenging than philippines typhoon httpAddress,__lable__1
'575736147046834176',rt usrId D year old michael in his village now httpAddress village chief tells me desperately need httpAddress #vanuatu httpAddress,__lable__2
'575736273350098944',rt usrId usrId usrId usrId with you httpAddress i m sure he d be httpAddress throw pam in the mix too winks,__lable__4
'575736292618563584',cyclone pam solutions to the human cost of climatechange httpAddress,__lable__1
'575736345332600832',usrId he he how s it going pam ?,__lable__4
'575736452413136897',rt usrId help victims of #cyclonepam in #vanuatu now httpAddress,__lable__5
'575736502006603776',thousands await aid in vanuatu as death toll increases fox news httpAddress,__lable__3
'575736505798361088',#death toll varies as officials struggle to assess cyclone pam s damage fox news httpAddress,__lable__3
'575736544465580033',complete devastation after cyclone hits island nation of vanuatu httpAddress,__lable__2
'575736623708532736',devastated vanuatu starts to get aid httpAddress,__lable__5
'575736634190270465',rt usrId at 12 00pm local time severe tropical cyclone pam was located about DD km south of tanna and DD km httpAddress httpAddress,__lable__1
'575736643191246848',sam smith lay me down red nose day 2015 ft . httpAddress gt ; gt ; httpAddress timeline #vanuatu # #xfactornz # httpAddress,__lable__4
'575736693820514304',httpAddress tracking link for cyclone pan usrId,__lable__1
'575736712892145665',cyclone pam untangling the complex science on tropical storms and climate change carbon brief httpAddress,__lable__1
'575736745372811265',rt usrId sending off an adventurer today ! usrId enjoy your vacation in #china before your #reliefwork in #vanuatu ! #service ht,__lable__4
'575736838293426176',thank pam for the favored httpAddress,__lable__4
'575736933755805696',rt usrId first photos coming from our staff in httpAddress scenes of absolute destruction #cyclonepam httpAddress,__lable__2
'575736980966785024',rt usrId day D in #vanuatu protecting animals after #tcpam our team feeds the pelam family s dogs snoopy and blackie httpAddress,__lable__1
'575737015599259648',rt usrId httpAddress tropical cyclone pam vanuatu aid workers call for patience amid massive .. #vanuatu DD,__lable__5
'575737024310697984',vanuatu begins relief efforts after massive cyclone hits struggles to assess damage httpAddress,__lable__1
'575737043071930368',united nations fears the worst after typhoon batters vanuatu httpAddress httpAddress,__lable__1
'575737048994217984',cyclone sets country back years jacobeth nilah wails in pain in the storm battered httpAddress httpAddress,__lable__1
'575737189646090240',creatine enriched high protein cyclone milk world s first maxinutrition httpAddress via usrId,__lable__4
'575737292913963008',rt usrId httpAddress #cyclonepam cyclone pam cyclone pam sounds like a freight train httpAddress,__lable__1
'575737350430420992',pam anderson rick salomon made 40 mil last year .. playing poker with one guy !! httpAddress,__lable__4
'575737382969962496',rt usrId our thoughts are with vanuatu and other pacific countries hit by this httpAddress httpAddress,__lable__6
'575737419057618944',httpAddress vanuatu takes direct hit from cyclone pam possibly worst in .. #retweet #news httpAddress,__lable__1
'575737437428707328',rt usrId here is the promo video for tomorrows offering for vanuatu ! please share with your friends and families today ! httpAddress,__lable__1
'575737616244543488',i m tryin so hard not to laugh while pam got this hot comb to my hair 2 2,__lable__4
'575737639497682944',the bbc could have checked wikipedia for the truth about cyclone pam the storm which devastated vanuatu is httpAddress httpAddress,__lable__1
'575737656388251649',pam anderson files restraining order against rick solomon .. allegations of serial baby killer httpAddress,__lable__4
'575737691179868160',feeling for the beautiful people of httpAddress recovery will take a long httpAddress httpAddress,__lable__6
'575737693369294848',rt usrId vanuatu president says monster cyclone destoyed or damaged 90 of buildings in capital httpAddress httpAddress,__lable__2
